effective_date,added_ticker,added_security,removed_ticker,removed_security,reason,source,source_url,verified_at,confidence,notes,added_original_ticker,removed_original_ticker
2026-05-07,VEEV,Veeva Systems,CTRA,Coterra Energy,S&P 500 constituent Devon Energy Corp. is acquiring Coterra Energy.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,VEEV,CTRA
2026-04-09,CASY,Casey's,HOLX,Hologic,Blackstone Inc. and TPG Inc. acquired Hologic.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,CASY,HOLX
2026-03-23,VRT,Vertiv,MTCH,Match Group,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,VRT,MTCH
2026-03-23,LITE,Lumentum,MOH,Molina Healthcare,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,LITE,MOH
2026-03-23,COHR,Coherent Corp.,LW,Lamb Weston,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,COHR,LW
2026-03-23,SATS,EchoStar,PAYC,Paycom,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,SATS,PAYC
2026-02-09,CIEN,Ciena,DAY,Dayforce,Thoma Bravo L.P. acquired Dayforce.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,CIEN,DAY
2025-12-22,CRH,CRH,LKQ,LKQ Corporation,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,CRH,LKQ
2025-12-22,CVNA,Carvana,SOLS,Solstice Advanced Materials,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,CVNA,SOLS
2025-12-22,FIX,Comfort Systems USA,MHK,Mohawk Industries,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,FIX,MHK
2025-09-22,EME,Emcor,ENPH,Enphase Energy,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,EME,ENPH
2025-09-22,HOOD,Robinhood Markets,CZR,Caesars Entertainment,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,HOOD,CZR
2025-09-22,APP,AppLovin,MKTX,MarketAxess,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,APP,MKTX
2025-08-28,IBKR,Interactive Brokers,WBA,Walgreens Boots Alliance,Sycamore Partners acquired Walgreen Boots Alliance.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,IBKR,WBA
2025-07-23,XYZ,"Block, Inc.",HES,Hess Corporation,S&P 500 and S&P 100 constituent Chevron Corp. acquired Hess Corporation.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,XYZ,HES
2025-07-18,TTD,Trade Desk (The),ANSS,Ansys,S&P 500 constituent Synopsys Inc. acquired Ansys.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,TTD,ANSS
2025-07-09,DDOG,Datadog,JNPR,Juniper Networks,S&P 500 constituent Hewlett Packard Enterprise Co. acquired Juniper Networks.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,DDOG,JNPR
2025-05-19,COIN,Coinbase,DFS,Discover Financial,S&P 500 constituent Capital One Financial Corp. acquired Discover Financial Services.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,COIN,DFS
2025-03-24,DASH,DoorDash,BWA,BorgWarner,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,DASH,BWA
2025-03-24,TKO,TKO Group Holdings,TFX,Teleflex,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,TKO,TFX
2025-03-24,WSM,"Williams-Sonoma, Inc.",CE,Celanese,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,WSM,CE
2025-03-24,EXE,Expand Energy,FMC,FMC Corporation,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,EXE,FMC
